--- scanner 0 ---
602,365,-604
309,-819,-775
-589,731,-551
-803,817,548
325,-731,774
-855,-664,304
-91,96,-88
47,-34,29
692,405,-767
513,535,660
340,-633,-836
399,500,577
-805,780,754
-594,682,-384
-814,882,768
316,-768,-918
-747,-756,401
-763,-608,329
-842,-465,-620
382,-782,771
370,550,692
413,-882,725
572,506,-721
-647,-437,-631
-595,663,-432
-612,-421,-623

--- scanner 1 ---
651,-500,-434
-857,735,662
635,642,-754
729,-486,-497
-415,-410,836
-526,-541,-481
563,506,854
521,543,781
463,-596,701
35,98,137
635,-455,-352
-494,-398,-496
-882,827,718
-432,777,-726
-638,775,-763
589,-469,732
-461,-441,936
-609,-427,-446
699,656,-710
-785,719,810
620,580,892
-117,-14,37
665,837,-755
-412,-353,785
519,-469,653
-418,786,-828

--- scanner 2 ---
-602,682,731
-626,-811,-733
531,-555,307
-644,-532,552
636,394,-728
-637,-714,-596
858,599,268
523,-938,-917
-693,-417,644
694,-645,267
-367,380,-747
-709,814,766
-296,374,-718
11,-105,-29
462,-907,-731
902,672,241
596,350,-706
380,-931,-866
745,589,274
570,463,-772
-581,744,793
-543,-740,-669
577,-675,408
-717,-647,635
-321,430,-859

--- scanner 3 ---
655,-559,-732
-774,-491,-781
-886,765,893
-863,-564,-831
246,659,-503
-912,601,889
-536,-832,880
687,912,426
239,687,-383
-687,701,-387
-729,-455,-832
-659,765,-476
620,-558,-753
-535,-781,854
-801,702,-508
469,-627,665
-66,-35,42
-959,723,785
612,-653,-584
236,737,-406
453,-625,497
24,107,-28
573,810,500
437,-634,658
739,754,483
-393,-747,893

--- scanner 4 ---
-488,-806,-408
448,-742,758
-393,610,-389
424,-690,782
-653,374,883
-128,-72,149
413,-866,-645
-428,606,-632
-615,583,930
370,-780,-649
462,775,839
-653,-721,-433
336,904,-366
-745,-717,523
458,668,890
-650,-591,561
375,778,-473
23,111,18
495,632,810
-813,-654,495
458,-755,-678
-632,-731,-409
-436,516,-525
395,757,-456
-636,490,835
456,-785,686

--- scanner 5 ---
615,449,405
606,321,517
88,-78,-139
-780,-416,-721
319,-388,-500
583,576,506
335,-454,686
-491,528,286
362,-336,-562
422,626,-694
-550,-737,540
-380,-731,442
-656,-443,-717
345,-372,-486
-429,517,354
306,-441,462
-681,865,-712
40,35,20
-596,-326,-705
438,618,-659
-662,817,-711
-730,698,-717
-477,-728,465
307,-464,681
466,629,-464
-498,315,353

--- scanner 6 ---
933,-730,666
898,428,-816
-798,703,-780
-292,-473,307
-704,359,748
492,-384,-761
591,643,436
-610,390,838
-674,-821,-324
5,97,-82
-718,-847,-323
-734,760,-785
-247,-490,537
632,-426,-855
-614,488,810
547,664,472
863,545,-823
868,-627,599
-438,-842,-318
159,-67,-103
502,561,535
-244,-385,369
44,-22,68
789,523,-817
497,-470,-748
-782,790,-865
829,-819,656

--- scanner 7 ---
421,593,705
-550,-568,554
-648,616,-373
-667,-598,413
350,824,-296
-496,-305,-771
366,810,-270
394,589,829
-839,599,711
-640,651,-389
-435,-336,-585
720,-826,790
-887,598,730
664,-529,-450
744,-596,781
671,-711,698
-720,593,779
314,748,-313
-353,-312,-720
-33,45,33
304,605,645
-651,846,-417
653,-432,-587
-504,-688,453
570,-503,-523

--- scanner 8 ---
502,316,366
880,-596,771
-831,-328,444
881,-705,637
-780,752,498
-407,573,-788
830,-669,682
781,-601,-747
-805,-379,443
-44,7,73
-616,-533,-561
405,860,-687
-448,-535,-545
385,744,-752
-493,564,-761
633,-507,-704
96,-60,-112
474,778,-734
-609,-526,-529
-884,640,432
538,476,462
-844,-413,301
-766,548,510
464,523,347
-452,423,-816
802,-602,-712

--- scanner 9 ---
679,579,-546
-633,765,777
-74,55,50
-511,831,689
534,-511,647
-894,-391,-703
518,-679,645
-844,435,-663
638,-676,-790
-715,524,-653
