--- scanner 0 ---
841,866,478
-437,-775,-647
119,-8,72
631,448,-357
378,-633,749
752,-316,-718
-408,-736,-558
368,-621,627
-675,-734,554
-21,33,-80
-361,457,-746
653,-355,-631
-667,777,772
-659,-734,653
745,-489,-656
373,-642,759
-360,579,-799
767,476,-436
-346,498,-726
688,388,-535
-643,-825,592
-497,-772,-502
769,860,408
-756,714,660
797,828,435
-780,792,801

--- scanner 1 ---
124,-61,85
-802,710,-815
-535,-502,487
453,419,-333
778,-817,586
-811,-899,-870
-418,-530,391
-724,716,-858
-818,-918,-808
-655,-501,408
450,595,-368
-24,-126,-33
643,683,864
-792,-877,-659
853,-557,-587
749,-689,569
790,-548,-362
931,-503,-430
886,-785,530
-417,347,562
-435,285,587
541,711,782
551,541,-313
-475,258,484
-804,804,-864
625,832,829

--- scanner 2 ---
-529,-413,571
453,-450,517
-65,28,-52
843,625,384
-406,-479,503
811,-775,-557
892,-758,-702
70,-83,59
888,-660,-570
816,639,553
-626,635,-736
-835,-394,-412
-690,449,585
-535,375,569
-512,632,-683
-455,-386,616
904,618,490
856,340,-436
570,-401,439
-807,-332,-299
-793,-404,-273
445,-411,550
860,300,-592
-624,501,594
912,346,-451
-695,634,-688

--- scanner 3 ---
-832,383,504
-424,-716,-425
391,338,-430
-762,-583,599
364,-449,-307
-784,-591,543
521,243,351
-834,423,569
-501,-748,-479
-849,478,341
462,296,-448
458,-451,-356
452,-529,-313
753,-646,895
-373,225,-484
-395,381,-429
584,278,440
665,-550,804
568,340,-371
-46,-187,-73
-640,-715,-422
754,-628,864
74,-95,68
620,256,519
-759,-492,572
-416,337,-506

--- scanner 4 ---
-526,-486,-764
-557,-506,685
-4,138,-63
747,428,763
422,-425,551
-646,822,481
671,485,686
751,510,843
432,-706,-400
365,-393,580
516,-753,-279
-543,-509,655
-544,-511,-826
-161,-28,109
-647,825,697
534,-788,-428
-542,-392,576
-833,934,-395
442,389,-570
-913,940,-307
-911,891,-401
402,-266,531
341,444,-516
-614,768,558
344,409,-692
-584,-408,-853

--- scanner 5 ---
-612,-752,659
-569,313,-659
837,575,-546
970,-856,665
-684,749,411
-647,224,-601
734,-789,-406
-740,-564,-658
-732,701,389
-641,-733,575
684,499,930
96,-94,151
940,-930,661
-644,-536,-541
810,-929,-336
684,-995,-409
799,434,-521
-723,-535,-421
-544,251,-641
700,468,751
917,-969,673
659,430,727
157,-169,-18
812,497,-511
-645,-763,577
-713,733,490

--- scanner 6 ---
685,-799,-730
-856,764,721
767,-795,-650
710,-719,-573
-651,731,-706
806,-490,683
370,599,-584
-635,-366,-510
-709,-358,-561
304,863,514
-624,822,-703
-59,-50,141
373,598,-368
751,-389,629
-595,723,-728
-916,686,810
-947,668,809
255,865,420
-739,-439,-577
